model,perturbation,real_delta_norm,pred_delta_norm,norm_ratio,abs_ratio,top20_sign,top20_recall
VAE,AAAS,2.8417397,1.4716974,0.5178861,0.42136604,0.95,0.35
VAE,AAR2,2.7068954,1.2058461,0.445472,0.34188366,0.8,0.25
VAE,AARS,8.214038,6.8398223,0.8326991,0.8186518,1.0,0.55
VAE,AATF,7.042739,6.1323676,0.8707362,0.83047575,1.0,0.75
VAE,ABCB7,3.2315826,2.4377825,0.7543618,0.67461026,1.0,0.75
VAE,ABHD11,2.9094632,1.5227697,0.5233851,0.44212794,0.85,0.3
VAE,ABT1,4.511051,3.9655712,0.87907916,0.8324454,1.0,0.75
VAE,ACSS2,3.3582509,2.076367,0.6182882,0.4634963,0.9,0.45
VAE,ACTR1B,2.4665847,1.049042,0.42530143,0.33183888,0.9,0.3
VAE,ACTR2,1.9722543,0.9570364,0.48525,0.37066877,0.9,0.25
VAE,ACTR5,3.9357455,2.5649145,0.6516972,0.6114031,1.0,0.45
VAE,ACTR6,3.0164921,1.791537,0.59391403,0.5510514,1.0,0.25
VAE,ACTR8,3.3830342,2.3745816,0.7019088,0.6122408,1.0,0.6
VAE,ADRM1,2.5722651,1.2139931,0.47195488,0.40657815,1.0,0.2
VAE,AFG3L2,4.904261,3.8222873,0.77938086,0.6817188,1.0,0.55
VAE,AGBL5,3.309759,1.8377379,0.55524826,0.4986845,1.0,0.3
VAE,AHCTF1,3.9594572,3.0026267,0.758343,0.6625285,1.0,0.55
VAE,AIFM1,2.7428844,1.4147317,0.5157825,0.41585705,1.0,0.25
VAE,AKIRIN2,2.3656113,1.2943759,0.54716337,0.46424395,0.85,0.4
VAE,ALDOA,1.8659793,0.8956471,0.47998768,0.4172632,0.95,0.15
VAE,ALG11,3.820544,2.7852795,0.7290269,0.59351635,1.0,0.5
VAE,ALG13,3.3853807,2.101151,0.6206543,0.53026825,1.0,0.45
VAE,ALG2,3.6274927,2.5305326,0.6975983,0.58206946,1.0,0.5
VAE,ANAPC1,2.290048,1.2731214,0.5559366,0.44889387,1.0,0.5
VAE,ANAPC10,2.9660687,1.522898,0.5134399,0.39676824,1.0,0.5
VAE,ANAPC11,2.018393,1.1235194,0.55664057,0.42686272,0.95,0.45
VAE,ANAPC13,2.5140176,1.387281,0.5518183,0.48050308,1.0,0.4
VAE,ANAPC5,3.5814726,2.5156338,0.70240206,0.62881976,1.0,0.65
VAE,ANKLE2,1.8615063,0.82821435,0.44491622,0.36597568,0.95,0.2
VAE,ANKRD11,2.0634542,1.2787666,0.61972135,0.48562762,0.85,0.3
VAE,ANKRD39,3.153388,1.7636224,0.5592786,0.48683795,0.95,0.3
VAE,ANKRD49,2.393904,1.0299726,0.43024805,0.33268794,0.85,0.25
VAE,ANKS6,2.0378528,0.9514216,0.46687457,0.37455872,0.95,0.25
VAE,AP2M1,4.7570677,3.3221428,0.6983594,0.6484311,0.95,0.4
VAE,ARGLU1,3.681106,2.0771723,0.5642794,0.5012087,1.0,0.25
VAE,ARL2,2.3168602,1.3162849,0.56813306,0.48161882,1.0,0.45
VAE,ARL4D,2.4184692,1.0439032,0.431638,0.3497167,0.8,0.35
