model,perturbation,norm_ratio,abs_ratio,top20_recall,top20_sign,top20_corr
CondAE,AAAS,0.5313832759857178,0.42551231384277344,0.4,0.95,0.7157097530338775
CondAE,AAR2,0.43618300557136536,0.3358352780342102,0.35,0.8,0.6965495679057427
CondAE,AARS,0.852814793586731,0.8260413408279419,0.6,1.0,0.960716577041112
CondAE,AATF,0.8812748193740845,0.8317461013793945,0.75,1.0,0.9714446357405745
CondAE,ABCB7,0.7621482014656067,0.6815673112869263,0.75,1.0,0.9615449671452856
CondAE,ABHD11,0.5168577432632446,0.432510644197464,0.45,0.85,0.6336598693791651
CondAE,ABT1,0.8817956447601318,0.8262498378753662,0.75,1.0,0.9749539564381019
CondAE,ACSS2,0.5943590402603149,0.46141156554222107,0.45,0.9,0.8130748749477357
CondAE,ACTR1B,0.4145427644252777,0.32483235001564026,0.35,0.9,0.7697682987672154
CondAE,ACTR2,0.4706939160823822,0.35802698135375977,0.25,0.9,0.6812117031355753
CondAE,ACTR5,0.6764404773712158,0.629905641078949,0.45,1.0,0.9303489227053394
CondAE,ACTR6,0.5921736359596252,0.5513380765914917,0.4,1.0,0.8744813868528803
CondAE,ACTR8,0.6868994832038879,0.5909416079521179,0.55,1.0,0.9172221157559545
CondAE,ADRM1,0.48521026968955994,0.4100695252418518,0.15,0.95,0.8268515044158593
CondAE,AFG3L2,0.7911233901977539,0.6879051327705383,0.6,1.0,0.9757300528248016
CondAE,AGBL5,0.5733386278152466,0.5149773955345154,0.25,1.0,0.9039553291990101
CondAE,AHCTF1,0.7728219628334045,0.6837997436523438,0.55,1.0,0.8598770442980899
CondAE,AIFM1,0.5431836247444153,0.4377012252807617,0.25,0.95,0.8431902193905172
CondAE,AKIRIN2,0.5588715076446533,0.4745525121688843,0.45,0.85,0.6228608110234959
CondAE,ALDOA,0.484504371881485,0.4163772463798523,0.1,1.0,0.8192337661028817
CondAE,ALG11,0.6932454705238342,0.5650832653045654,0.55,1.0,0.9458676759726637
CondAE,ALG13,0.6413607597351074,0.5388906598091125,0.45,1.0,0.8344117851272065
CondAE,ALG2,0.6726764440536499,0.5493255853652954,0.5,1.0,0.9348714762165642
CondAE,ANAPC1,0.5591980814933777,0.4479917585849762,0.4,1.0,0.8846526001824012
CondAE,ANAPC10,0.5337369441986084,0.415871262550354,0.5,0.95,0.8379593161100052
CondAE,ANAPC11,0.5503708720207214,0.42309290170669556,0.6,0.95,0.801896071468185
CondAE,ANAPC13,0.5435183644294739,0.46276596188545227,0.45,1.0,0.8708159938716089
CondAE,ANAPC5,0.7029128670692444,0.6320803761482239,0.6,1.0,0.9313352774326891
CondAE,ANKLE2,0.45636269450187683,0.38389086723327637,0.3,0.9,0.7533216554492121
CondAE,ANKRD11,0.6208673119544983,0.4908170998096466,0.25,0.95,0.9617840512765292
CondAE,ANKRD39,0.5578417778015137,0.4894689619541168,0.25,0.95,0.8814397638517244
CondAE,ANKRD49,0.4348270893096924,0.3354213833808899,0.25,0.85,0.7050878988787942
CondAE,ANKS6,0.46855491399765015,0.38022109866142273,0.25,0.95,0.5291556218544695
CondAE,AP2M1,0.7235488891601562,0.6634332537651062,0.5,1.0,0.9118348709279367
CondAE,ARGLU1,0.5835877060890198,0.5250774621963501,0.25,1.0,0.8994199764006198
CondAE,ARL2,0.5779934525489807,0.4887825548648834,0.4,1.0,0.9059304064684365
CondAE,ARL4D,0.45249930024147034,0.3688869774341583,0.35,0.75,0.7272468850102357
CondAE,ARMC7,0.6382685899734497,0.5832855701446533,0.45,1.0,0.9116894719568174
CondAE,ARPC4,0.7104822993278503,0.6306754350662231,0.55,1.0,0.8732011107676284
CondAE,ASCC3,0.5379722714424133,0.4187147915363312,0.4,0.9,0.8776935531471592
CondAE,ASF1B,0.5299402475357056,0.42117929458618164,0.35,1.0,0.7418481299400662
CondAE,ATF5,0.813770055770874,0.7497798204421997,0.75,1.0,0.9514518625002061
CondAE,ATP11B,0.8081334829330444,0.7350254058837891,0.55,1.0,0.9668576295401782
CondAE,ATP2A2,0.6489095687866211,0.5260539054870605,0.6,1.0,0.8482704710928085
CondAE,ATP5ME,0.8465291261672974,0.7378204464912415,0.85,1.0,0.969361727121508
CondAE,ATP5MF,0.8196016550064087,0.7507802248001099,0.65,1.0,0.9369073428435114
CondAE,ATP5PD,0.8751294016838074,0.8221517205238342,0.6,1.0,0.9705659266666058
CondAE,ATP6AP1,0.9036985635757446,0.8645728230476379,0.8,1.0,0.9790335175273253
CondAE,ATP6AP2,0.904948890209198,0.8743314146995544,0.7,1.0,0.9822697015397938
CondAE,ATP6V0B,0.8379980325698853,0.7729123830795288,0.7,0.95,0.9325716816812617
CondAE,ATP6V0C,0.8641934394836426,0.801531970500946,0.5,1.0,0.9597482245294061
CondAE,ATP6V0D1,0.6878365874290466,0.5436936020851135,0.7,1.0,0.9762833534166224
CondAE,ATP6V1A,0.8930978178977966,0.8372365832328796,0.85,1.0,0.9795817080336735
